brand,product_line,sub_range,shade_code,display_code,shade_name,level,tone_code,shade_category,source_key,evidence_status,confidence
Schwarzkopf Professional,IGORA ROYAL Core,,9-0,9-0,,9.0,0,,schwarzkopf_professional_igora_royal_assortment_shade_chart_p4_5,manufacturer_stated,confirmed
Schwarzkopf Professional,IGORA ROYAL Core,,8-0,8-0,,8.0,0,,schwarzkopf_professional_igora_royal_assortment_shade_chart_p4_5,manufacturer_stated,confirmed
Schwarzkopf Professional,IGORA ROYAL Core,,7-0,7-0,,7.0,0,,schwarzkopf_professional_igora_royal_assortment_shade_chart_p4_5,manufacturer_stated,confirmed
Schwarzkopf Professional,IGORA ROYAL Core,,6-0,6-0,,6.0,0,,schwarzkopf_professional_igora_royal_assortment_shade_chart_p4_5,manufacturer_stated,confirmed
Schwarzkopf Professional,IGORA ROYAL Core,,5-0,5-0,,5.0,0,,schwarzkopf_professional_igora_royal_assortment_shade_chart_p4_5,manufacturer_stated,confirmed
Schwarzkopf Professional,IGORA ROYAL Core,,4-0,4-0,,4.0,0,,schwarzkopf_professional_igora_royal_assortment_shade_chart_p4_5,manufacturer_stated,confirmed
Schwarzkopf Professional,IGORA ROYAL Core,,3-0,3-0,,3.0,0,,schwarzkopf_professional_igora_royal_assortment_shade_chart_p4_5,manufacturer_stated,confirmed
Schwarzkopf Professional,IGORA ROYAL Core,,1-0,1-0,,1.0,0,,schwarzkopf_professional_igora_royal_assortment_shade_chart_p4_5,manufacturer_stated,confirmed
Schwarzkopf Professional,IGORA ROYAL Core,,9-00,9-00,,9.0,00,,schwarzkopf_professional_igora_royal_assortment_shade_chart_p4_5,manufacturer_stated,confirmed
Schwarzkopf Professional,IGORA ROYAL Core,,8-00,8-00,,8.0,00,,schwarzkopf_professional_igora_royal_assortment_shade_chart_p4_5,manufacturer_stated,confirmed
Schwarzkopf Professional,IGORA ROYAL Core,,7-00,7-00,,7.0,00,,schwarzkopf_professional_igora_royal_assortment_shade_chart_p4_5,manufacturer_stated,confirmed
Schwarzkopf Professional,IGORA ROYAL Core,,6-00,6-00,,6.0,00,,schwarzkopf_professional_igora_royal_assortment_shade_chart_p4_5,manufacturer_stated,confirmed
Schwarzkopf Professional,IGORA ROYAL Core,,5-00,5-00,,5.0,00,,schwarzkopf_professional_igora_royal_assortment_shade_chart_p4_5,manufacturer_stated,confirmed
Schwarzkopf Professional,IGORA ROYAL Core,,9-1,9-1,,9.0,1,,schwarzkopf_professional_igora_royal_assortment_shade_chart_p4_5,manufacturer_stated,confirmed
Schwarzkopf Professional,IGORA ROYAL Core,,8-1,8-1,,8.0,1,,schwarzkopf_professional_igora_royal_assortment_shade_chart_p4_5,manufacturer_stated,confirmed
Schwarzkopf Professional,IGORA ROYAL Core,,7-1,7-1,,7.0,1,,schwarzkopf_professional_igora_royal_assortment_shade_chart_p4_5,manufacturer_stated,confirmed
Schwarzkopf Professional,IGORA ROYAL Core,,6-1,6-1,,6.0,1,,schwarzkopf_professional_igora_royal_assortment_shade_chart_p4_5,manufacturer_stated,confirmed
Schwarzkopf Professional,IGORA ROYAL Core,,5-1,5-1,,5.0,1,,schwarzkopf_professional_igora_royal_assortment_shade_chart_p4_5,manufacturer_stated,confirmed
Schwarzkopf Professional,IGORA ROYAL Core,,1-1,1-1,,1.0,1,,schwarzkopf_professional_igora_royal_assortment_shade_chart_p4_5,manufacturer_stated,confirmed
Schwarzkopf Professional,IGORA ROYAL Core,,8-11,8-11,,8.0,11,,schwarzkopf_professional_igora_royal_assortment_shade_chart_p4_5,manufacturer_stated,confirmed
Schwarzkopf Professional,IGORA ROYAL Core,,6-12,6-12,,6.0,12,,schwarzkopf_professional_igora_royal_assortment_shade_chart_p4_5,manufacturer_stated,confirmed
Schwarzkopf Professional,IGORA ROYAL Core,,4-13,4-13,,4.0,13,,schwarzkopf_professional_igora_royal_assortment_shade_chart_p4_5,manufacturer_stated,confirmed
Schwarzkopf Professional,IGORA ROYAL Core,,9-4,9-4,,9.0,4,,schwarzkopf_professional_igora_royal_assortment_shade_chart_p4_5,manufacturer_stated,confirmed
Schwarzkopf Professional,IGORA ROYAL Core,,8-4,8-4,,8.0,4,,schwarzkopf_professional_igora_royal_assortment_shade_chart_p4_5,manufacturer_stated,confirmed
Schwarzkopf Professional,IGORA ROYAL Core,,7-4,7-4,,7.0,4,,schwarzkopf_professional_igora_royal_assortment_shade_chart_p4_5,manufacturer_stated,confirmed
Schwarzkopf Professional,IGORA ROYAL Core,,6-4,6-4,,6.0,4,,schwarzkopf_professional_igora_royal_assortment_shade_chart_p4_5,manufacturer_stated,confirmed
Schwarzkopf Professional,IGORA ROYAL Core,,5-4,5-4,,5.0,4,,schwarzkopf_professional_igora_royal_assortment_shade_chart_p4_5,manufacturer_stated,confirmed
Schwarzkopf Professional,IGORA ROYAL Core,,9-55,9-55,,9.0,55,,schwarzkopf_professional_igora_royal_assortment_shade_chart_p4_5,manufacturer_stated,confirmed
Schwarzkopf Professional,IGORA ROYAL Core,,8-55,8-55,,8.0,55,,schwarzkopf_professional_igora_royal_assortment_shade_chart_p4_5,manufacturer_stated,confirmed
Schwarzkopf Professional,IGORA ROYAL Core,,7-55,7-55,,7.0,55,,schwarzkopf_professional_igora_royal_assortment_shade_chart_p4_5,manufacturer_stated,confirmed
Schwarzkopf Professional,IGORA ROYAL Core,,6-5,6-5,,6.0,5,,schwarzkopf_professional_igora_royal_assortment_shade_chart_p4_5,manufacturer_stated,confirmed
Schwarzkopf Professional,IGORA ROYAL Core,,5-5,5-5,,5.0,5,,schwarzkopf_professional_igora_royal_assortment_shade_chart_p4_5,manufacturer_stated,confirmed
Schwarzkopf Professional,IGORA ROYAL Core,,4-5,4-5,,4.0,5,,schwarzkopf_professional_igora_royal_assortment_shade_chart_p4_5,manufacturer_stated,confirmed
Schwarzkopf Professional,IGORA ROYAL Core,,7-57,7-57,,7.0,57,,schwarzkopf_professional_igora_royal_assortment_shade_chart_p4_5,manufacturer_stated,confirmed
Schwarzkopf Professional,IGORA ROYAL Core,,5-57,5-57,,5.0,57,,schwarzkopf_professional_igora_royal_assortment_shade_chart_p4_5,manufacturer_stated,confirmed
Schwarzkopf Professional,IGORA ROYAL Core,,6-6,6-6,,6.0,6,,schwarzkopf_professional_igora_royal_assortment_shade_chart_p4_5,manufacturer_stated,confirmed
Schwarzkopf Professional,IGORA ROYAL Core,,5-6,5-6,,5.0,6,,schwarzkopf_professional_igora_royal_assortment_shade_chart_p4_5,manufacturer_stated,confirmed
Schwarzkopf Professional,IGORA ROYAL Core,,4-6,4-6,,4.0,6,,schwarzkopf_professional_igora_royal_assortment_shade_chart_p4_5,manufacturer_stated,confirmed
Schwarzkopf Professional,IGORA ROYAL Core,,6-63,6-63,,6.0,63,,schwarzkopf_professional_igora_royal_assortment_shade_chart_p4_5,manufacturer_stated,confirmed
Schwarzkopf Professional,IGORA ROYAL Core,,5-63,5-63,,5.0,63,,schwarzkopf_professional_igora_royal_assortment_shade_chart_p4_5,manufacturer_stated,confirmed
Schwarzkopf Professional,IGORA ROYAL Core,,4-63,4-63,,4.0,63,,schwarzkopf_professional_igora_royal_assortment_shade_chart_p4_5,manufacturer_stated,confirmed
